,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra
0,2,2015-06-06 05:26:02,2015-06-06 05:34:08,2,2.15,-74.0005493164,40.7332305908,1,N,-74.0146713257,40.7097091675,2,9.0,0.5
1,1,2015-06-06 05:26:03,2015-06-06 05:35:41,1,2.0,-74.0068664551,40.743850708,1,N,-73.9949874878,40.7600860596,1,9.5,0.5
2,1,2015-06-06 05:26:04,2015-06-06 06:04:32,1,10.1,-73.9965820312,40.7373771667,1,N,-73.912727356,40.6585388184,1,33.0,0.5
3,2,2015-06-06 05:26:04,2015-06-06 05:39:59,1,5.65,-73.9526443481,40.7148208618,1,N,-73.9605560303,40.6595687866,1,17.5,0.5
4,1,2015-06-06 05:26:06,2015-06-06 05:42:55,1,4.2,-73.9327697754,40.7450714111,1,N,-73.9919891357,40.7493553162,2,16.5,0.5
5,1,2015-06-06 05:26:06,2015-06-06 05:39:01,1,3.9,-73.9228515625,40.7608184814,1,N,-73.9820556641,40.7683525085,1,14.5,0.5
6,1,2015-06-06 05:26:08,2015-06-06 05:39:19,1,4.8,-73.950553894,40.7795982361,1,N,-73.9494094849,40.7621765137,2,15.5,0.5
7,1,2015-06-06 05:26:09,2015-06-06 05:30:43,1,1.0,-73.9455337524,40.7820053101,1,N,-73.9514083862,40.7701377869,2,6.0,0.5
8,1,2015-06-06 05:26:11,2015-06-06 05:29:03,1,0.8,-73.9086227417,40.7709121704,1,N,-73.8976593018,40.7797813416,1,4.5,0.5
9,2,2015-06-06 05:26:11,2015-06-06 05:33:35,6,2.17,-73.9408187866,40.7967414856,1,N,-73.9527435303,40.7749481201,2,8.5,0.5
10,2,2015-06-06 05:26:11,2015-06-06 05:45:19,1,4.71,-74.0073623657,40.7410125732,1,N,-73.9565734863,40.7171401978,1,17.5,0.5
11,2,2015-06-06 05:26:11,2015-06-06 05:48:53,1,14.93,-73.7769622803,40.6449699402,1,N,-73.8409729004,40.730381012,1,41.0,0.5
12,2,2015-06-06 05:26:12,2015-06-06 05:35:14,5,3.21,-73.9898834229,40.7336082458,1,N,-73.9644241333,40.7731513977,1,11.5,0.5
13,1,2015-06-06 05:26:12,2015-06-06 05:29:15,1,0.7,-74.0022354126,40.7504272461,1,N,-74.0037155151,40.7430305481,1,4.5,0.5
14,2,2015-06-06 05:26:14,2015-06-06 05:29:21,1,0.78,-73.9887008667,40.7486534119,1,N,-73.9848251343,40.7581367493,2,4.5,0.5
15,2,2015-06-06 05:26:15,2015-06-06 05:41:08,1,4.97,-73.9555969238,40.7768630981,1,N,-73.9057693481,40.7469978333,1,16.0,0.5
16,1,2015-06-06 05:26:15,2015-06-06 05:34:38,2,2.6,-73.9840316772,40.755695343,1,N,-73.9940414429,40.7283630371,1,9.5,0.5
17,2,2015-06-06 05:26:16,2015-06-06 05:48:41,1,6.21,-73.9852828979,40.7383041382,1,N,-73.9442977905,40.6801185608,2,21.5,0.5
18,2,2015-06-06 05:26:16,2015-06-06 05:31:46,1,1.48,-73.9346313477,40.8013801575,1,N,-73.9402008057,40.789478302,2,6.5,0.5
19,1,2015-06-06 05:26:16,2015-06-06 05:38:56,1,2.8,-73.9123153687,40.7453460693,1,N,-73.8798141479,40.7612953186,2,11.5,0.5
20,2,2015-06-06 05:26:17,2015-06-06 05:49:53,1,4.58,-73.9738006592,40.7842788696,1,N,-73.9913635254,40.7498817444,2,18.5,0.5
21,1,2015-06-06 05:26:17,2015-06-06 05:32:51,1,1.9,-73.9900665283,40.7565841675,1,N,-73.9634628296,40.7575302124,2,7.5,0.5
22,1,2015-06-06 05:26:18,2015-06-06 05:56:09,4,17.4,-73.9892501831,40.7579231262,1,N,-73.8366394043,40.865688324,2,47.5,0.5
23,1,2015-06-06 05:26:19,2015-06-06 05:30:13,1,1.6,-73.9818267822,40.7324943542,1,N,-73.9707946777,40.7518196106,1,6.5,0.5
24,1,2015-06-06 05:26:19,2015-06-06 05:27:58,1,0.2,-73.9898834229,40.7155303955,1,N,-73.9923553467,40.7139549255,2,3.0,0.5
25,1,2015-06-06 05:26:20,2015-06-06 06:00:55,2,10.4,-73.9885635376,40.7214813232,1,N,-73.9189147949,40.7391738892,2,35.0,0.5
26,2,2015-06-06 05:26:22,2015-06-06 05:45:58,2,7.71,-73.9664306641,40.764541626,1,N,-73.8520812988,40.72605896,1,23.5,0.5
27,2,2015-06-06 05:26:22,2015-06-06 05:32:42,2,1.08,-73.988494873,40.722618103,1,N,-73.9830474854,40.7132606506,2,6.5,0.5
28,1,2015-06-06 05:26:25,2015-06-06 05:34:30,1,2.9,-74.00050354,40.7322425842,1,N,-73.9889068604,40.7658424377,2,10.0,0.5
29,2,2015-06-06 05:26:25,2015-06-06 05:50:09,1,8.63,-74.0009918213,40.7316818237,1,N,-73.9418487549,40.8176956177,1,27.0,0.5
30,1,2015-06-06 05:26:26,2015-06-06 05:37:24,2,2.3,-74.0028152466,40.7398109436,1,N,-73.9968719482,40.7147750854,1,10.0,0.5
31,1,2015-06-06 05:26:26,2015-06-06 05:33:35,1,2.1,-73.9952545166,40.7445297241,1,N,-73.9958343506,40.7214851379,1,8.5,0.5
32,2,2015-06-06 05:26:27,2015-06-06 05:27:23,1,0.22,-73.9839859009,40.7441482544,1,N,-73.9869308472,40.7453727722,2,3.0,0.5
33,2,2015-06-06 05:26:28,2015-06-06 05:35:06,6,1.68,-73.9680099487,40.7593307495,1,N,-73.9572372437,40.7698097229,1,8.0,0.5
34,2,2015-06-06 05:26:30,2015-06-06 05:30:46,5,0.99,-73.9471511841,40.7801780701,1,N,-73.9517593384,40.7693634033,1,5.5,0.5
35,2,2015-06-06 05:26:30,2015-06-06 05:35:22,5,3.31,-73.9565429688,40.7709083557,1,N,-73.9240036011,40.744808197,2,11.5,0.5
36,1,2015-06-06 05:26:33,2015-06-06 05:31:35,1,1.1,-73.9864730835,40.7475128174,1,N,-73.9813232422,40.7372932434,2,5.5,0.5
37,1,2015-06-06 05:26:33,2015-06-06 05:32:31,2,1.3,-73.9839096069,40.74401474,1,N,-73.9856262207,40.7579612732,2,6.5,0.5
38,2,2015-06-06 05:26:33,2015-06-06 05:32:48,2,0.98,-73.9843521118,40.7287979126,1,N,-73.998626709,40.7340698242,2,6.0,0.5
39,1,2015-06-06 05:26:34,2015-06-06 05:55:35,2,12.3,-74.001914978,40.7294769287,1,N,-73.8615875244,40.7682647705,1,35.5,0.5
